positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.075,0.041,0.654,104,13,28,52,11
0.055,0.056,0.681,135,14,44,57,20
0.058,0.03,0.567,58,9,20,26,3
0.082,0.07,0.725,179,27,51,79,22
0.081,0.085,0.746,34,3,10,16,5
0.069,0.047,0.613,74,12,22,30,10
0.04,0.018,0.818,264,41,59,154,10
0.045,0.029,0.835,188,21,64,76,27
0.082,0.053,0.677,197,34,55,69,39
0.056,0.019,0.825,20,3,8,7,2
0.061,0.052,0.559,55,2,16,33,4
0.116,0.09,0.757,54,12,16,18,8
0.101,0.049,0.655,41,1,15,15,10
0.072,0.071,0.721,162,25,42,83,12
0.077,0.063,0.721,501,62,163,201,75
0.041,0.05,0.759,40,7,12,17,4
0.06,0.052,0.671,162,18,48,78,18
0.087,0.047,0.764,301,38,92,132,39
0.092,0.042,0.567,30,5,4,20,1
0.086,0.086,0.731,165,30,45,54,36
0.039,0.026,0.724,19,2,6,9,2
0.066,0.046,0.749,815,119,271,334,91
0.075,0.051,0.757,823,88,292,314,129
0.08,0.041,0.76,194,24,66,71,33
0.065,0.019,0.88,27,4,7,13,3
0.105,0.045,0.65,25,3,10,7,5
0.066,0.04,0.636,66,4,23,33,6
0.097,0.034,0.688,22,1,5,13,3
0.03,0.01,0.6,25,3,9,11,2
0.014,0.037,0.841,261,42,61,147,11
0.083,0.021,0.701,72,14,21,30,7
0.029,0.008,0.562,30,0,2,28,0
0.079,0.056,0.661,49,5,13,27,4
0.051,0.017,0.789,197,33,42,114,8
0.08,0.046,0.7,212,26,68,90,28
0.075,0.053,0.784,681,76,228,290,87
0.125,0.02,0.803,19,2,6,9,2
0.109,0.057,0.704,85,12,28,34,11
0.068,0.05,0.707,229,34,76,95,24
0.054,0.077,0.67,70,6,19,36,9
0.092,0.032,0.756,417,82,99,206,30
0.042,0.062,0.674,18,1,7,7,3
0.122,0.039,0.628,38,8,11,16,3
0.07,0.076,0.669,340,49,101,137,53
0.047,0.013,0.551,136,15,21,90,10
0.081,0.037,0.781,60,6,26,21,7
0.033,0.125,0.755,23,4,7,7,5
0.034,0.009,0.744,66,19,15,32,0
0.065,0.06,0.656,352,41,106,139,66
0.0,0.0,0.333,84,0,0,84,0
0.0,0.004,0.282,35,1,4,27,3
0.0,0.0,0.057,35,1,2,32,0
0.06,0.024,0.751,127,24,25,66,12
0.069,0.061,0.717,72,13,20,28,11
0.05,0.006,0.694,20,3,3,13,1
0.102,0.055,0.587,43,8,9,23,3
0.053,0.087,0.739,33,2,12,14,5
0.072,0.058,0.741,568,85,193,197,93
0.055,0.122,0.676,34,6,10,15,3
0.091,0.052,0.806,58,10,19,26,3
0.065,0.068,0.714,98,22,20,50,6
0.031,0.006,0.263,40,2,6,32,0
0.043,0.058,0.688,52,1,22,19,10
0.089,0.027,0.67,28,1,10,14,3
0.115,0.034,0.736,26,4,10,6,6
0.043,0.058,0.668,26,1,8,14,3
0.03,0.051,0.811,37,1,11,22,3
0.038,0.056,0.782,105,9,38,49,9
0.048,0.012,0.798,21,1,7,10,3
0.073,0.061,0.767,181,21,56,87,17
0.081,0.031,0.787,20,2,7,8,3
0.071,0.022,0.768,264,55,62,130,17
0.118,0.054,0.72,37,3,12,15,7
0.048,0.051,0.798,39,4,13,14,8
0.055,0.082,0.758,133,20,45,53,15
0.08,0.074,0.71,22,2,9,10,1
0.003,0.024,0.081,37,3,0,34,0
0.083,0.062,0.638,69,9,26,27,7
0.081,0.089,0.702,93,14,34,27,18
0.102,0.023,0.739,22,3,9,8,2
0.035,0.035,0.673,39,2,11,23,3
0.0,0.0,0.044,45,1,0,43,1
0.13,0.093,0.718,51,10,16,19,6
0.066,0.077,0.592,34,6,12,12,4
0.046,0.009,0.717,57,14,10,28,5
0.046,0.03,0.714,38,3,16,19,0
0.004,0.02,0.258,32,2,3,27,0
0.104,0.029,0.733,30,3,12,10,5
0.068,0.02,0.781,338,37,104,153,44
0.003,0.006,0.186,41,1,4,34,2
0.075,0.062,0.662,20,2,10,7,1
0.075,0.058,0.719,780,177,124,477,2
0.022,0.075,0.454,434,26,34,373,1
0.068,0.062,0.733,44,5,7,31,1
0.015,0.076,0.848,33,3,14,12,4
0.105,0.054,0.598,358,69,85,160,44
0.004,0.023,0.191,32,1,2,29,0
0.061,0.074,0.705,404,50,142,158,54
0.086,0.03,0.72,55,7,15,20,13
0.081,0.038,0.407,150,37,17,86,10
0.082,0.045,0.769,522,55,202,198,67
0.088,0.088,0.718,47,2,18,13,14
